"fold","test_year","target_date","p_min","p_max","actual_price","inside_range","prob_calm","prob_stress"
7,2019,2019-11-21,1.10018262843775,1.11238884845845,1.1067,TRUE,0.9966831028906,0.00331689710939974
7,2019,2019-11-22,1.10058068524394,1.11271466571029,1.1029,TRUE,0.997093768054914,0.00290623194508609
7,2019,2019-11-25,1.09680186895997,1.10896992633836,1.1009,TRUE,0.995396100623263,0.00460389937673689
7,2019,2019-11-26,1.09481317070917,1.10688295036043,1.1012,TRUE,0.995842360391141,0.00415763960885913
7,2019,2019-11-27,1.0951868234307,1.10718445601857,1.1002,TRUE,0.996723000853557,0.00327699914644321
7,2019,2019-11-29,1.09426752291596,1.10610310432047,1.1019,TRUE,0.997033091026239,0.00296690897376137
7,2019,2019-12-02,1.09595859649662,1.10781211380066,1.1075,TRUE,0.996977068207043,0.00302293179295747
7,2019,2019-12-03,1.10137749350608,1.11359473943974,1.1089,TRUE,0.991271815042952,0.00872818495704759
7,2019,2019-12-04,1.10284556895616,1.11492592894672,1.1076,TRUE,0.994034805671565,0.00596519432843469
7,2019,2019-12-05,1.10155292397643,1.11354244638458,1.1104,TRUE,0.995565541921822,0.00443445807817759
7,2019,2019-12-06,1.10433784432659,1.11635737322167,1.1052,TRUE,0.995207520692649,0.00479247930735144
7,2019,2019-12-09,1.09909101267118,1.11128169974131,1.1067,TRUE,0.988954233126425,0.0110457668735751
7,2019,2019-12-10,1.1005829715706,1.11271359966217,1.109,TRUE,0.992684340882498,0.00731565911750199
7,2019,2019-12-11,1.10294604521561,1.11502599135899,1.1092,TRUE,0.993821857257525,0.0061781427424754
7,2019,2019-12-12,1.10322079472439,1.11515055519863,1.1115,TRUE,0.995824053486107,0.00417594651389337
7,2019,2019-12-13,1.10550862023104,1.11746278991054,1.1128,TRUE,0.995895681588819,0.00410431841118109
7,2019,2019-12-16,1.1068776849584,1.11869301123547,1.1139,TRUE,0.996544074272828,0.00345592572717211
7,2019,2019-12-17,1.10797208306793,1.11979872033721,1.1148,TRUE,0.996943876033512,0.0030561239664884
7,2019,2019-12-18,1.10894350701642,1.12062660517791,1.1113,TRUE,0.997191758848675,0.00280824115132483
7,2019,2019-12-19,1.10538635686794,1.11710822982345,1.1128,TRUE,0.995771381605441,0.00422861839455909
7,2019,2019-12-20,1.1069544363776,1.11861595973835,1.1076,TRUE,0.996406623594962,0.00359337640503778
7,2019,2019-12-23,1.10163091278439,1.11354127664869,1.1091,TRUE,0.990941682628933,0.00905831737106732
7,2019,2019-12-24,1.10319863129541,1.11497283968373,1.1084,TRUE,0.99382172355007,0.00617827644993022
7,2019,2019-12-26,1.10257812651163,1.11419270104404,1.1102,TRUE,0.995778889301924,0.00422111069807588
7,2019,2019-12-27,1.10436890496688,1.11600200218138,1.1174,FALSE,0.996241358823639,0.0037586411763612
7,2019,2019-12-30,1.11115041063606,1.12362439005666,1.1217,TRUE,0.980236769367492,0.0197632306325084
7,2019,2019-12-31,1.11535010474289,1.12802553146679,1.1227,TRUE,0.972153574158291,0.0278464258417093
8,2020,2020-01-02,1.11649762735423,1.12887640775715,1.1166,TRUE,0.987409032265784,0.0125909677342163
8,2020,2020-01-03,1.11012719310998,1.1230504484342,1.1173,TRUE,0.964297049803317,0.0357029501966829
8,2020,2020-01-06,1.11097556469817,1.12352350614174,1.1187,TRUE,0.981467724269454,0.0185322757305463
8,2020,2020-01-07,1.11252026009081,1.12485414794965,1.1138,TRUE,0.989025622562772,0.0109743774372283
8,2020,2020-01-08,1.10749574108363,1.12008053758004,1.1117,TRUE,0.980379855997494,0.0196201440025062
8,2020,2020-01-09,1.10548356983397,1.11789202403995,1.1106,TRUE,0.986647593609201,0.0133524063907993
8,2020,2020-01-10,1.10446560983488,1.11670930083188,1.1119,TRUE,0.992127088771507,0.00787291122849266
8,2020,2020-01-13,1.10583440016557,1.11793977955048,1.1138,TRUE,0.994778578466027,0.00522142153397255
8,2020,2020-01-14,1.10772427163963,1.11977331342588,1.113,TRUE,0.995789615663886,0.00421038433611429
8,2020,2020-01-15,1.10700469047712,1.11896890258242,1.116,TRUE,0.996843972123392,0.00315602787660804
8,2020,2020-01-16,1.10998872582784,1.12198490040759,1.1131,TRUE,0.996258799507197,0.00374120049280342
8,2020,2020-01-17,1.10710455453533,1.11906925142917,1.1093,TRUE,0.995883818938215,0.00411618106178534
8,2020,2020-01-21,1.10332518879122,1.11524879558464,1.1096,TRUE,0.994247731140051,0.00575226885994853
8,2020,2020-01-22,1.10362383240086,1.11547391259314,1.1085,TRUE,0.996221483352194,0.00377851664780561
8,2020,2020-01-23,1.10260549282369,1.11436797390705,1.1041,TRUE,0.996985964930771,0.0030140350692289
8,2020,2020-01-24,1.09815383845094,1.11002061100512,1.1026,TRUE,0.994438304193098,0.00556169580690203
8,2020,2020-01-27,1.09673723918202,1.10843656998697,1.1019,TRUE,0.995882668208121,0.00411733179187942
8,2020,2020-01-28,1.09604121474521,1.10773274788325,1.1008,TRUE,0.996927762948845,0.003072237051155
8,2020,2020-01-29,1.09502226732013,1.10655106123024,1.1004,TRUE,0.997342259068523,0.00265774093147747
8,2020,2020-01-30,1.09462461907517,1.1061488566697,1.1032,TRUE,0.997653084812688,0.00234691518731158
8,2020,2020-01-31,1.09741011821841,1.1089633961883,1.1082,TRUE,0.997012029882093,0.00298797011790729
8,2020,2020-02-03,1.10230849760623,1.11406573708246,1.1062,TRUE,0.992968115573076,0.00703188442692436
8,2020,2020-02-04,1.10031936185573,1.11205504438442,1.1043,TRUE,0.994622339751897,0.00537766024810275
8,2020,2020-02-05,1.09850488019304,1.1100688994261,1.1006,TRUE,0.995705917133986,0.00429408286601401
8,2020,2020-02-06,1.09474953050915,1.10642522046718,1.0979,TRUE,0.99406887999886,0.00593112000114
8,2020,2020-02-07,1.09206409050268,1.10363529749099,1.095,TRUE,0.994371626788474,0.00562837321152553
8,2020,2020-02-10,1.08917970474995,1.10072005843592,1.0916,TRUE,0.994266557007605,0.00573344299239545
8,2020,2020-02-11,1.08579795400938,1.097377317632,1.0917,TRUE,0.993155839430048,0.00684416056995172
8,2020,2020-02-12,1.08597199114894,1.09740262665504,1.0893,TRUE,0.995792290894787,0.00420770910521275
8,2020,2020-02-13,1.08358479659385,1.09498999307609,1.0848,TRUE,0.995963142503397,0.00403685749660342
8,2020,2020-02-14,1.07903467721324,1.09054106152678,1.0839,TRUE,0.992278221876054,0.00772177812394638
8,2020,2020-02-18,1.07821348657993,1.08956162315115,1.0815,TRUE,0.99516852843695,0.00483147156304998
8,2020,2020-02-19,1.07582628840905,1.08714899121737,1.0794,TRUE,0.995516762313035,0.00448323768696495
8,2020,2020-02-20,1.07373752415876,1.08503792273828,1.0797,TRUE,0.996040458124844,0.00395954187515639
8,2020,2020-02-21,1.07410968864681,1.08526511647118,1.0855,FALSE,0.997089072355441,0.00291092764455876
8,2020,2020-02-24,1.07965801079378,1.09124433716837,1.0857,TRUE,0.99003686444761,0.0099631355523905
8,2020,2020-02-25,1.07993107495142,1.091370603794,1.0868,TRUE,0.994374133791542,0.00562586620845789
8,2020,2020-02-26,1.08109943632118,1.09247624130148,1.0887,TRUE,0.996094353531538,0.00390564646846204
8,2020,2020-02-27,1.08298968952864,1.09431119096018,1.0977,FALSE,0.996555586142428,0.00344441385757183
8,2020,2020-02-28,1.09134462111711,1.10396183662056,1.1001,TRUE,0.964702103658344,0.0352978963416561
8,2020,2020-03-02,1.09388062399319,1.10629972407523,1.1164,FALSE,0.974759222666278,0.0252407773337222
8,2020,2020-03-03,1.10659780170604,1.12623213570123,1.1175,TRUE,0.641362960753843,0.358637039246157
8,2020,2020-03-04,1.10852262786917,1.12649330812786,1.113,TRUE,0.767138612172221,0.232861387827779
8,2020,2020-03-05,1.10383231909224,1.1221105508818,1.1202,TRUE,0.737523407097292,0.262476592902708
8,2020,2020-03-06,1.10960525070956,1.13083893382594,1.1319,FALSE,0.507419795401407,0.492580204598593
8,2020,2020-03-09,1.11950670867074,1.14429413736052,1.142,TRUE,0.122541768036589,0.877458231963411
8,2020,2020-03-10,1.12910890274072,1.15497945984019,1.1342,TRUE,0.0325469654326048,0.967453034567395
8,2020,2020-03-11,1.12124322023635,1.14716949253419,1.128,TRUE,0.0164067211322047,0.983593278867795
8,2020,2020-03-12,1.11511406722733,1.14097666926135,1.1081,FALSE,0.0131222817864695,0.986877718213531
8,2020,2020-03-13,1.09461241589682,1.121695276058,1.1066,TRUE,0.00459156134789518,0.995408438652105
8,2020,2020-03-16,1.09320597724681,1.120099844458,1.1139,TRUE,0.009717209466436,0.990282790533564
8,2020,2020-03-17,1.10041739001597,1.1274890693007,1.0971,FALSE,0.00834969030193986,0.99165030969806
8,2020,2020-03-18,1.08329822079993,1.1110188411475,1.0833,TRUE,0.00415754304215264,0.995842456957848
8,2020,2020-03-19,1.06930355633954,1.09734586002103,1.0699,TRUE,0.00362273397881819,0.996377266021182
8,2020,2020-03-20,1.05585772054609,1.08407057011256,1.0682,TRUE,0.00360553527953307,0.996394464720467
8,2020,2020-03-23,1.05425270635753,1.08227357006051,1.076,TRUE,0.00776540537547672,0.992234594624523
8,2020,2020-03-24,1.06187773104985,1.09017663751249,1.0794,TRUE,0.00763019987135487,0.992369800128645
8,2020,2020-03-25,1.06530639996711,1.09354628314148,1.0835,TRUE,0.0120717151669771,0.987928284833023
8,2020,2020-03-26,1.06942636447796,1.09769982423478,1.1025,FALSE,0.0164217208959799,0.98357827910402
8,2020,2020-03-27,1.08757868567298,1.11756468050446,1.1059,TRUE,0.00737174678948313,0.992628253210517
8,2020,2020-03-30,1.09100776932111,1.12093406793766,1.1018,TRUE,0.0118087165113172,0.988191283488683
8,2020,2020-03-31,1.08703775326959,1.11670159298105,1.1016,TRUE,0.0163800554666709,0.983619944533329
8,2020,2020-04-01,1.0869898794563,1.11634552443133,1.0934,TRUE,0.0266199965979526,0.973380003402047
8,2020,2020-04-02,1.07882432296927,1.10811197801983,1.0862,TRUE,0.0208661511734061,0.979133848826594
8,2020,2020-04-03,1.07172010680313,1.10081524984392,1.0797,TRUE,0.0189654287332492,0.981034571266751
8,2020,2020-04-06,1.06530668851467,1.09422784185175,1.0808,TRUE,0.0188859755039861,0.981114024496014
8,2020,2020-04-07,1.06653863627061,1.09519220307969,1.0886,TRUE,0.0295658084060042,0.970434191593996
8,2020,2020-04-08,1.07416174227055,1.10317193163308,1.0864,TRUE,0.0238921753735337,0.976107824626466
8,2020,2020-04-09,1.07213825915977,1.10079130751276,1.0931,TRUE,0.0348503862556563,0.965149613744344
8,2020,2020-04-10,1.07875016144096,1.10758016958953,1.0951,TRUE,0.0318224367223133,0.968177563277687
8,2020,2020-04-13,1.08079839485189,1.10953031095424,1.0906,TRUE,0.0459106566768107,0.954089343323189
8,2020,2020-04-14,1.07643114155175,1.10489513954166,1.0971,TRUE,0.0529326606785647,0.947067339321435
8,2020,2020-04-15,1.08284659488838,1.11148041437598,1.0909,TRUE,0.0481300989495818,0.951869901050418
8,2020,2020-04-16,1.07672713977944,1.1051991505371,1.084,TRUE,0.0456239303181668,0.954376069681833
8,2020,2020-04-17,1.06991664754953,1.0982088106061,1.0883,TRUE,0.0396561214269088,0.960343878573091
8,2020,2020-04-20,1.07423459989941,1.10248947233198,1.0874,TRUE,0.0467790605661308,0.953220939433869
8,2020,2020-04-21,1.07349378649704,1.10142645797413,1.0854,TRUE,0.0684682434425427,0.931531756557457
8,2020,2020-04-22,1.07159321300364,1.09932501755912,1.0829,TRUE,0.0940427771368756,0.905957222863124
8,2020,2020-04-23,1.06927190368572,1.09664238900022,1.0815,TRUE,0.123340850052404,0.876659149947596
8,2020,2020-04-24,1.06810944547878,1.09499924656171,1.0798,TRUE,0.16858336965801,0.83141663034199
8,2020,2020-04-27,1.06657703679753,1.09312794232859,1.0829,TRUE,0.222976470674991,0.777023529325009
8,2020,2020-04-28,1.06978594551635,1.09604072493818,1.0836,TRUE,0.267096850444838,0.732903149555162
8,2020,2020-04-29,1.07077123634966,1.09652355726433,1.0853,TRUE,0.348719403427308,0.651280596572692
