Date,sigma_t,log_sigma_t,state,regime_label
2024-07-10,0.3584237316579174,-1.0260393845101297,0,low volatility
2024-07-11,0.3528146933224023,-1.0418123079775083,0,low volatility
2024-07-12,0.3570575743418971,-1.029858237539158,0,low volatility
2024-07-15,0.3557192784915148,-1.0336134027572785,0,low volatility
2024-07-16,0.3501663976560232,-1.0493468156014985,0,low volatility
2024-07-17,0.3473938698662086,-1.0572960710815154,0,low volatility
2024-07-18,0.3522261071719766,-1.043481959682057,0,low volatility
2024-07-19,0.347936659759081,-1.0557348279604397,0,low volatility
2024-07-22,0.3447701701344025,-1.0648772574664258,0,low volatility
2024-07-23,0.3392074306374042,-1.081143468944058,0,low volatility
2024-07-24,0.3363233262396899,-1.0896823012387173,0,low volatility
2024-07-25,0.3307069730005836,-1.106522573638872,0,low volatility
2024-07-26,0.3255713554996617,-1.1221736232333746,0,low volatility
2024-07-29,0.3201990750357774,-1.1388123671314485,0,low volatility
2024-07-30,0.3226752009835586,-1.1311090313942365,0,low volatility
2024-07-31,0.3178018849309531,-1.1463270937109777,0,low volatility
2024-08-01,0.3136890061090815,-1.1593532102744055,0,low volatility
2024-08-02,0.3143035536281688,-1.1573960287577452,0,low volatility
2024-08-05,0.3816901065983006,-0.9631462388796738,0,low volatility
2024-08-06,0.3829064539825148,-0.9599645651107378,0,low volatility
2024-08-07,0.3800526626797247,-0.9674454498645825,0,low volatility
2024-08-08,0.3734551629981596,-0.9849573271356276,0,low volatility
2024-08-09,0.3674610027128661,-1.0011380810268788,0,low volatility
2024-08-12,0.3617269285877282,-1.016865692732516,0,low volatility
2024-08-13,0.3555912312922148,-1.0339734345547058,0,low volatility
2024-08-14,0.3526876546187127,-1.0421724448514207,0,low volatility
2024-08-15,0.3682937493390295,-0.998874427331316,0,low volatility
2024-08-16,0.3678580806235492,-1.0000580656749625,0,low volatility
2024-08-19,0.3620122587874564,-1.016077203675993,0,low volatility
2024-08-20,0.379087908798911,-0.9699871514583033,0,low volatility
2024-08-21,0.3779497733070676,-0.9729939670402218,0,low volatility
2024-08-22,0.3771154295902325,-0.9752039591130016,0,low volatility
2024-08-23,0.3738418416813857,-0.9839224542127748,0,low volatility
2024-08-26,0.3831148980772377,-0.9594203398112546,0,low volatility
2024-08-27,0.376962272593029,-0.9756101692392686,0,low volatility
2024-08-28,0.3704776524200683,-0.9929621534199017,0,low volatility
2024-08-29,0.3683921880303577,-0.9986071799551394,0,low volatility
2024-08-30,0.3688034519354737,-0.9974914274316969,0,low volatility
2024-09-03,0.3651474762557244,-1.0074539624674275,0,low volatility
2024-09-04,0.3600174098290105,-1.021602888065179,0,low volatility
2024-09-05,0.3602476114782817,-1.0209636743027457,0,low volatility
2024-09-06,0.3551352648884832,-1.035256534224518,0,low volatility
2024-09-09,0.3494690095505227,-1.0513403920537163,0,low volatility
2024-09-10,0.3518039704378887,-1.0446811606767363,0,low volatility
2024-09-11,0.3470173852728589,-1.0583803986394333,0,low volatility
2024-09-12,0.3418404458030196,-1.0734111835194986,0,low volatility
2024-09-13,0.3400841822587366,-1.0785620971398464,0,low volatility
2024-09-16,0.3433532165369448,-1.0689955758598861,0,low volatility
2024-09-17,0.3442087094615444,-1.0665070920339939,0,low volatility
2024-09-18,0.3384905742467349,-1.0832590326696911,0,low volatility
2024-09-19,0.3328246632403612,-1.100139464486613,0,low volatility
2024-09-20,0.3318606818102897,-1.1030400312377946,0,low volatility
2024-09-23,0.3270715074823438,-1.1175764546752467,0,low volatility
2024-09-24,0.3253953100393411,-1.1227144972102827,0,low volatility
2024-09-25,0.3220169331118064,-1.133151147516646,0,low volatility
2024-09-26,0.3169081803838854,-1.1491431988478875,0,low volatility
2024-09-27,0.3199590125794885,-1.1395623770811356,0,low volatility
2024-09-30,0.3175151745433224,-1.147229667954244,0,low volatility
2024-10-01,0.3131746634224027,-1.1609942139793603,0,low volatility
2024-10-02,0.3362223066933612,-1.089982710734049,0,low volatility
2024-10-03,0.3318341914540285,-1.1031198581502581,0,low volatility
2024-10-04,0.3318196740395315,-1.1031636081086449,0,low volatility
2024-10-07,0.3395366756534425,-1.0801733093837442,0,low volatility
2024-10-08,0.3349742169073226,-1.0937017145747399,0,low volatility
2024-10-09,0.3295149377562091,-1.1101335914504382,0,low volatility
2024-10-10,0.3256590282568443,-1.121904370569804,0,low volatility
2024-10-11,0.3233987467880052,-1.1288692069610322,0,low volatility
2024-10-15,0.3195910765841237,-1.1407129860551366,0,low volatility
2024-10-16,0.3231709350934025,-1.129573884926652,0,low volatility
2024-10-17,0.3210217664079594,-1.136246350026504,0,low volatility
2024-10-18,0.3219676089827461,-1.1333043317188516,0,low volatility
2024-10-21,0.3182233009132729,-1.1450019385021353,0,low volatility
2024-10-22,0.3186215858792565,-1.143751131512331,0,low volatility
2024-10-23,0.3144509269688118,-1.156927250091701,0,low volatility
2024-10-24,0.3126463586212031,-1.1626825718583305,0,low volatility
2024-10-25,0.3115160779852066,-1.1663043273668587,0,low volatility
2024-10-28,0.3067598133060147,-1.1816902046851725,0,low volatility
2024-10-29,0.3020424386031102,-1.1971877463041434,0,low volatility
2024-10-30,0.2994285384318111,-1.2058794927956278,0,low volatility
2024-10-31,0.3177445876765892,-1.1465074023335213,0,low volatility
2024-11-01,0.3128970253259266,-1.1618811351408362,0,low volatility
2024-11-04,0.3080149709538181,-1.1776068901969283,0,low volatility
2024-11-05,0.3099646309373434,-1.1712970817626374,0,low volatility
2024-11-06,0.3117827748275331,-1.1654485681836075,0,low volatility
2024-11-07,0.4539223936965322,-0.7898290345469466,1,normal volatility
2024-11-08,0.4588415269504737,-0.7790503857250876,1,normal volatility
2024-11-12,0.473715320578107,-0.7471487272108425,1,normal volatility
2024-11-13,0.5071241431948392,-0.6789994469914086,1,normal volatility
2024-11-14,0.5008960079622007,-0.6913567683804089,1,normal volatility
2024-11-15,0.491778038767386,-0.7097278050011141,1,normal volatility
2024-11-18,0.4830920797699815,-0.7275480021535992,1,normal volatility
2024-11-19,0.4784898249375316,-0.7371203328135872,1,normal volatility
2024-11-20,0.4699715274761471,-0.7550831659510501,1,normal volatility
2024-11-21,0.4728694589198186,-0.7489359139515374,1,normal volatility
2024-11-22,0.4717418587310777,-0.7513233524741716,1,normal volatility
2024-11-25,0.4837704415154335,-0.7261447791682671,1,normal volatility
2024-11-26,0.4973037981875707,-0.6985541756723306,1,normal volatility
2024-11-27,0.4882409366951836,-0.7169462722339258,1,normal volatility
2024-11-29,0.5098377623732436,-0.673662716866077,1,normal volatility
2024-12-02,0.5029721460174902,-0.6872204861264443,1,normal volatility
2024-12-03,0.5068948886000231,-0.6794516172003177,1,normal volatility
2024-12-04,0.5016481409199512,-0.689856319547909,1,normal volatility
2024-12-05,0.4927651160439008,-0.7077226565169406,1,normal volatility
2024-12-06,0.4906121689279746,-0.7121013432909381,1,normal volatility
2024-12-09,0.4818342910071292,-0.7301550186334638,1,normal volatility
2024-12-10,0.4732564857682751,-0.7481177842464658,1,normal volatility
2024-12-11,0.4764278935590328,-0.7414388925033623,1,normal volatility
2024-12-12,0.4678008667800933,-0.7597125719477269,1,normal volatility
2024-12-13,0.459475379933763,-0.7776699187442487,1,normal volatility
2024-12-16,0.4520538922559382,-0.793953875602585,1,normal volatility
2024-12-17,0.4447150965030341,-0.8103214344297436,1,normal volatility
2024-12-18,0.4368320321095457,-0.8282065236560928,1,normal volatility
2024-12-19,0.434218841059604,-0.8342066298962258,1,normal volatility
2024-12-20,0.4739559604622536,-0.7466408720206873,1,normal volatility
2024-12-23,0.4850608861207589,-0.7234808575306212,1,normal volatility
2024-12-24,0.4777117521820552,-0.7387477572935762,1,normal volatility
2024-12-26,0.4705468757205718,-0.7538596953326377,1,normal volatility
2024-12-27,0.4667136769714416,-0.762039320753089,1,normal volatility
2024-12-30,0.4582518074833934,-0.7803364479528219,1,normal volatility
2024-12-31,0.455022506559153,-0.7874083962893663,1,normal volatility
2025-01-02,0.4513879543974477,-0.7954280999404685,1,normal volatility
2025-01-03,0.473918317426638,-0.7467202982410489,1,normal volatility
2025-01-06,0.4690835682507471,-0.756974342505212,1,normal volatility
2025-01-07,0.5010728500655098,-0.6910037791557867,1,normal volatility
2025-01-08,0.4945242518554515,-0.7041590859359995,1,normal volatility
2025-01-09,0.4964007033455253,-0.7003718087600108,1,normal volatility
2025-01-10,0.4880601150372138,-0.7173166941641624,1,normal volatility
2025-01-13,0.4920286420519744,-0.709218348631495,1,normal volatility
2025-01-14,0.4860095798419979,-0.7215269436668653,1,normal volatility
2025-01-15,0.5025121576105414,-0.6881354450917488,1,normal volatility
2025-01-16,0.493611275355906,-0.7060069635483215,1,normal volatility
2025-01-17,0.4862754246367272,-0.7209800982457603,1,normal volatility
2025-01-21,0.4782748122996463,-0.7375697905655497,1,normal volatility
2025-01-22,0.5343562730547219,-0.6266924844811469,1,normal volatility
2025-01-23,0.5244924313692537,-0.645324281432449,1,normal volatility
2025-01-24,0.5148164955482242,-0.6639447611390517,1,normal volatility
2025-01-27,0.5353038711952954,-0.6249207097851224,1,normal volatility
2025-01-28,0.5270156442977562,-0.6405250453068928,1,normal volatility
2025-01-29,0.5308031239980736,-0.6333640910891174,1,normal volatility
2025-01-30,0.5213513470315918,-0.6513310940122842,1,normal volatility
2025-01-31,0.5118110107849677,-0.6697998416446329,1,normal volatility
2025-02-03,0.5036887601567952,-0.6857967410381811,1,normal volatility
