"target_date","confidence_level","p_min","p_max","actual_price"
2020-02-27,0.5,1.0869983244419,1.09035018561704,1.0977
2020-02-27,0.8,1.0852891320748,1.09206734849985,1.0977
2020-02-27,0.95,1.08298968952864,1.09431119096018,1.0977
2020-02-28,0.2,1.09695938933383,1.09831122649497,1.1001
2020-02-28,0.5,1.09583412947651,1.09951425802651,1.1001
2020-02-28,0.8,1.09396126088609,1.10139663338312,1.1001
2020-02-28,0.95,1.09134462111711,1.10396183662056,1.1001
2020-03-02,0.2,1.09935784576873,1.10071260323094,1.1164
2020-03-02,0.5,1.09823015503983,1.1019182335701,1.1164
2020-03-02,0.8,1.09642825542785,1.10372915555945,1.1164
2020-03-02,0.95,1.09388062399319,1.10629972407523,1.1164
2020-03-03,0.2,1.11541724766777,1.11732717795385,1.1175
2020-03-03,0.5,1.11366299539474,1.11901062167534,1.1175
2020-03-03,0.8,1.11077070818194,1.12192436443811,1.1175
2020-03-03,0.95,1.10659780170604,1.12623213570123,1.1175
2020-03-04,0.2,1.11659278317813,1.11835159694357,1.113
2020-03-04,0.5,1.11498932557618,1.11988325200819,1.113
2020-03-04,0.8,1.11239813186486,1.12256869769234,1.113
2020-03-04,0.95,1.10852262786917,1.12649330812786,1.113
2020-03-05,0.2,1.11202038544096,1.1138481882835,1.1202
2020-03-05,0.5,1.1104995078139,1.11544998008189,1.1202
2020-03-05,0.8,1.10776716792369,1.11812475357913,1.1202
2020-03-05,0.95,1.10383231909224,1.1221105508818,1.1202
2020-03-06,0.2,1.11906083829177,1.12120709813022,1.1319
2020-03-06,0.5,1.11722445729639,1.12312687972886,1.1319
2020-03-06,0.8,1.11394180779362,1.12635951568912,1.1319
2020-03-06,0.95,1.10960525070956,1.13083893382594,1.1319
2020-03-09,0.2,1.13036180091496,1.13330525008079,1.142
2020-03-09,0.5,1.12788903717719,1.13586762088028,1.142
2020-03-09,0.8,1.12403616872621,1.13976104410165,1.142
2020-03-09,0.95,1.11950670867074,1.14429413736052,1.142
2020-03-10,0.2,1.14036982637641,1.14357426900014,1.1342
2020-03-10,0.5,1.13764143190087,1.14631689214169,1.1342
2020-03-10,0.8,1.13367745325916,1.15032506542239,1.1342
2020-03-10,0.95,1.12910890274072,1.15497945984019,1.1342
2020-03-11,0.2,1.13250338584494,1.13576350591331,1.128
2020-03-11,0.5,1.12979376867252,1.13856536310068,1.128
2020-03-11,0.8,1.12578001815934,1.1425464968449,1.128
2020-03-11,0.95,1.12124322023635,1.14716949253419,1.128
2020-03-12,0.2,1.12631266540772,1.12963227116951,1.1081
2020-03-12,0.5,1.12361786367581,1.13234149741019,1.1081
2020-03-12,0.8,1.1196260592293,1.13637863622728,1.1081
2020-03-12,0.95,1.11511406722733,1.14097666926135,1.1081
2020-03-13,0.2,1.10636555950541,1.10977928179072,1.1066
2020-03-13,0.5,1.1034910396028,1.11267018214109,1.1066
2020-03-13,0.8,1.09934377272461,1.11686772280783,1.1066
2020-03-13,0.95,1.09461241589682,1.121695276058,1.1066
2020-03-16,0.2,1.10486802417872,1.10827702338921,1.1139
2020-03-16,0.5,1.10199748108983,1.11108785645218,1.1139
2020-03-16,0.8,1.09793111287501,1.11527930187557,1.1139
2020-03-16,0.95,1.09320597724681,1.120099844458,1.1139
2020-03-17,0.2,1.11215654079544,1.11558807901631,1.0971
2020-03-17,0.5,1.10926701888517,1.11849406661197,1.0971
2020-03-17,0.8,1.1050981073804,1.122713513511,1.0971
2020-03-17,0.95,1.10041739001597,1.1274890693007,1.0971
2020-03-18,0.2,1.0953070406294,1.09883775895267,1.0833
2020-03-18,0.5,1.09238590972283,1.10177614264145,1.0833
2020-03-18,0.8,1.08813057250699,1.10608484340013,1.0833
2020-03-18,0.95,1.08329822079993,1.1110188411475,1.0833
2020-03-19,0.2,1.081455016905,1.08501584653339,1.0699
2020-03-19,0.5,1.07849658732479,1.08806667145463,1.0699
2020-03-19,0.8,1.07422123387178,1.09239712914271,1.0699
2020-03-19,0.95,1.06930355633954,1.09734586002103,1.0699
2020-03-20,0.2,1.06807734596291,1.07166796992424,1.0682
2020-03-20,0.5,1.06508219251722,1.07468164345601,1.0682
2020-03-20,0.8,1.06071417403207,1.07903327187559,1.0682
2020-03-20,0.95,1.05585772054609,1.08407057011256,1.0682
2020-03-23,0.2,1.06638035684872,1.06996517042688,1.076
2020-03-23,0.5,1.06339004991913,1.07290048108092,1.076
2020-03-23,0.8,1.05910163472721,1.07731855267072,1.076
2020-03-23,0.95,1.05425270635753,1.08227357006051,1.076
2020-03-24,0.2,1.07416697177715,1.07777805143395,1.0794
2020-03-24,0.5,1.07115475497517,1.08080889374712,1.0794
2020-03-24,0.8,1.06683491908624,1.08518531315819,1.0794
2020-03-24,0.95,1.06187773104985,1.09017663751249,1.0794
2020-03-25,0.2,1.07756126083656,1.08118367666124,1.0835
2020-03-25,0.5,1.0746131861059,1.084149776759,1.0835
2020-03-25,0.8,1.0702794916823,1.08853963368741,1.0835
2020-03-25,0.95,1.06530639996711,1.09354628314148,1.0835
2020-03-26,0.2,1.08165433931033,1.08521612855876,1.1025
2020-03-26,0.5,1.07869511321119,1.08826777644785,1.1025
2020-03-26,0.8,1.07434502594952,1.09267423775894,1.1025
2020-03-26,0.95,1.06942636447796,1.09769982423478,1.1025
