target_date,p_min,p_max,actual_price,Open,High,Low,Close,inside_range,prob_stress,close_breach_direction,low_below_pmin,high_above_pmax
2020-02-04,1.10031936185573,1.11205504438442,1.1043,1.1062,1.1064,1.1033,1.1043,True,0.0053776602481027,inside,False,False
2020-02-05,1.09850488019304,1.1100688994261,1.1006,1.1044,1.1047,1.0992,1.0999,True,0.004294082866014,inside,False,False
2020-02-06,1.09474953050915,1.10642522046718,1.0979,1.1,1.1013,1.0964,1.098,True,0.00593112000114,inside,False,False
2020-02-07,1.09206409050268,1.10363529749099,1.095,1.0979,1.0985,1.0941,1.0942,True,0.0056283732115255,inside,False,False
2020-02-10,1.08917970474995,1.10072005843592,1.0916,1.0948,1.0957,1.0907,1.0908,True,0.0057334429923954,inside,False,False
2020-02-11,1.08579795400938,1.097377317632,1.0917,1.091,1.0924,1.0892,1.0918,True,0.0068441605699517,inside,False,False
2020-02-12,1.08597199114894,1.09740262665504,1.0893,1.0919,1.0925,1.0865,1.0875,True,0.0042077091052127,inside,False,False
2020-02-13,1.08358479659385,1.09498999307609,1.0848,1.0875,1.0889,1.0834,1.0842,True,0.0040368574966034,inside,True,False
2020-02-14,1.07903467721324,1.09054106152678,1.0839,1.0841,1.0861,1.0828,1.083,True,0.0077217781239463,inside,False,False
2020-02-18,1.07821348657993,1.08956162315115,1.0815,1.0836,1.0837,1.0785,1.0794,True,0.0048314715630499,inside,False,False
2020-02-19,1.07582628840905,1.08714899121737,1.0794,1.0794,1.0811,1.0782,1.0809,True,0.0044832376869649,inside,False,False
2020-02-20,1.07373752415876,1.08503792273828,1.0797,1.0809,1.0821,1.0778,1.0786,True,0.0039595418751563,inside,False,False
2020-02-21,1.07410968864681,1.08526511647118,1.0855,1.0787,1.0863,1.0786,1.0845,False,0.0029109276445587,upper,False,True
2020-02-24,1.07965801079378,1.09124433716837,1.0857,1.0838,1.0872,1.0808,1.0848,True,0.0099631355523905,inside,False,False
2020-02-25,1.07993107495142,1.091370603794,1.0868,1.0848,1.0889,1.0829,1.0879,True,0.0056258662084578,inside,False,False
2020-02-26,1.08109943632118,1.09247624130148,1.0887,1.0879,1.0906,1.0855,1.0885,True,0.003905646468462,inside,False,False
2020-02-27,1.08298968952864,1.09431119096018,1.0977,1.0885,1.1006,1.0885,1.0996,False,0.0034444138575718,upper,False,True
2020-02-28,1.09134462111711,1.10396183662056,1.1001,1.0996,1.1053,1.0951,1.1027,True,0.0352978963416561,inside,False,True
2020-03-02,1.09388062399319,1.10629972407523,1.1164,1.105,1.1183,1.1036,1.1141,False,0.0252407773337222,upper,False,True
2020-03-03,1.10659780170604,1.12623213570123,1.1175,1.1144,1.1211,1.1096,1.1176,True,0.358637039246157,inside,False,False
2020-03-04,1.10852262786917,1.12649330812786,1.113,1.1177,1.1185,1.1095,1.1138,True,0.232861387827779,inside,False,False
2020-03-05,1.10383231909224,1.1221105508818,1.1202,1.1139,1.1244,1.112,1.1223,True,0.262476592902708,inside,False,True
2020-03-06,1.10960525070956,1.13083893382594,1.1319,1.1222,1.1354,1.1213,1.129,False,0.492580204598593,upper,False,True
2020-03-09,1.11950670867074,1.14429413736052,1.142,1.1387,1.1492,1.1355,1.14,True,0.877458231963411,inside,False,True
2020-03-10,1.12910890274072,1.15497945984019,1.1342,1.1397,1.1425,1.1274,1.1317,True,0.967453034567395,inside,True,False
2020-03-11,1.12124322023635,1.14716949253419,1.128,1.1314,1.1367,1.1251,1.1261,True,0.983593278867795,inside,False,False
2020-03-12,1.11511406722733,1.14097666926135,1.1081,1.1259,1.1333,1.1055,1.1183,False,0.986877718213531,lower,True,False
2020-03-13,1.09461241589682,1.121695276058,1.1066,1.1182,1.1221,1.1055,1.1142,True,0.995408438652105,inside,False,True
2020-03-16,1.09320597724681,1.120099844458,1.1139,1.1153,1.1236,1.1086,1.116,True,0.990282790533564,inside,False,True
2020-03-17,1.10041739001597,1.1274890693007,1.0971,1.1163,1.1189,1.0956,1.1016,False,0.99165030969806,lower,True,False
2020-03-18,1.08329822079993,1.1110188411475,1.0833,1.1016,1.1045,1.0802,1.0958,True,0.995842456957848,inside,True,False
